iter	Passed	Remaining
864	5228	816
865	5234	809
866	5240	803
867	5245	797
868	5252	791
869	5257	785
870	5261	779
871	5267	773
872	5272	767
873	5277	760
874	5282	754
875	5287	748
876	5292	742
877	5297	736
878	5304	730
879	5308	723
880	5313	717
881	5319	711
882	5324	705
883	5329	699
884	5336	693
885	5341	687
886	5347	681
887	5354	675
888	5360	669
889	5366	663
890	5371	657
891	5376	650
892	5383	645
893	5387	638
894	5392	632
895	5398	626
896	5403	620
897	5407	614
898	5413	608
899	5418	602
900	5422	595
901	5428	589
902	5434	583
903	5439	577
904	5444	571
905	5450	565
906	5455	559
907	5460	553
908	5466	547
909	5470	541
910	5475	534
911	5481	528
912	5485	522
913	5490	516
914	5497	510
915	5502	504
916	5506	498
917	5513	492
918	5517	486
919	5522	480
920	5528	474
921	5533	468
922	5538	462
923	5544	456
924	5548	449
925	5553	443
926	5559	437
927	5566	431
928	5571	425
929	5576	419
930	5582	413
931	5586	407
932	5592	401
933	5598	395
934	5603	389
935	5609	383
936	5617	377
937	5622	371
938	5630	365
939	5635	359
940	5641	353
941	5646	347
942	5651	341
943	5655	335
944	5661	329
945	5666	323
946	5671	317
947	5678	311
948	5683	305
949	5688	299
950	5694	293
951	5699	287
952	5704	281
953	5709	275
954	5714	269
955	5718	263
956	5726	257
957	5730	251
958	5737	245
959	5742	239
960	5746	233
961	5751	227
962	5758	221
963	5763	215
964	5769	209
965	5777	203
966	5781	197
967	5787	191
968	5793	185
969	5798	179
970	5803	173
971	5809	167
972	5814	161
973	5819	155
974	5825	149
975	5829	143
976	5835	137
977	5840	131
978	5845	125
979	5850	119
980	5855	113
981	5860	107
982	5865	101
983	5872	95
984	5877	89
985	5881	83
986	5888	77
987	5893	71
988	5898	65
989	5904	59
990	5909	53
991	5914	47
992	5919	41
993	5924	35
994	5929	29
995	5935	23
996	5939	17
997	5944	11
998	5949	5
999	5954	0
